LocationID;LocationType;Date;tre200dx
729;1;202309270000;22.2
731;1;202309270000;21.6
738;1;202309270000;21.9
743;1;202309270000;20.2
746;1;202309270000;18.7
748;1;202309270000;21.2
749;1;202309270000;21.5
762;1;202309270000;19.5
765;1;202309270000;20.1
771;1;202309270000;18.7
774;1;202309270000;22.1
779;1;202309270000;20.5
782;1;202309270000;21.1
795;1;202309270000;18.8
797;1;202309270000;21.0
799;1;202309270000;20.3
800;1;202309270000;20.3
803;1;202309270000;21.5
806;1;202309270000;22.7
835;1;202309270000;15.1
842;1;202309270000;21.5
843;1;202309270000;22.8
844;1;202309270000;21.6
847;1;202309270000;12.3
848;1;202309270000;13.9
849;1;202309270000;20.5
850;1;202309270000;19.8
852;1;202309270000;21.4
853;1;202309270000;17.7
854;1;202309270000;21.6
855;1;202309270000;20.5
856;1;202309270000;13.0
857;1;202309270000;20.4
859;1;202309270000;21.4
860;1;202309270000;21.6
861;1;202309270000;18.5
862;1;202309270000;14.1
863;1;202309270000;14.4
864;1;202309270000;12.4
865;1;202309270000;21.5
866;1;202309270000;11.3
867;1;202309270000;11.6
915;1;202309270000;21.1
952;1;202309270000;19.6
955;1;202309270000;23.5
958;1;202309270000;21.2
1024;1;202309270000;20.8
1040;1;202309270000;21.5
1118;1;202309270000;18.6
1435;1;202309270000;21.2
1472;1;202309270000;21.7
1728;1;202309270000;20.7
1729;1;202309270000;21.0
1730;1;202309270000;21.4
1731;1;202309270000;20.4
1732;1;202309270000;21.0
1733;1;202309270000;19.4
1734;1;202309270000;19.8
1735;1;202309270000;21.2
1736;1;202309270000;21.2
1737;1;202309270000;21.3
1738;1;202309270000;21.0
1739;1;202309270000;20.9
1740;1;202309270000;20.7
1741;1;202309270000;21.4
1742;1;202309270000;18.9
1743;1;202309270000;21.3
1744;1;202309270000;21.5
1745;1;202309270000;21.5
1746;1;202309270000;21.5
1747;1;202309270000;21.5
1748;1;202309270000;21.1
1749;1;202309270000;21.7
1750;1;202309270000;21.3
1751;1;202309270000;21.0
1752;1;202309270000;21.9
1753;1;202309270000;21.2
1754;1;202309270000;21.7
1755;1;202309270000;21.5
1756;1;202309270000;21.6
1757;1;202309270000;20.3
1758;1;202309270000;20.2
1759;1;202309270000;19.4
1760;1;202309270000;21.4
1761;1;202309270000;20.9
1762;1;202309270000;19.1
1763;1;202309270000;20.3
1764;1;202309270000;19.8
1765;1;202309270000;21.6
1766;1;202309270000;21.5
1767;1;202309270000;21.6
1768;1;202309270000;21.8
1769;1;202309270000;21.4
1770;1;202309270000;21.5
1771;1;202309270000;21.2
1772;1;202309270000;21.6
1773;1;202309270000;21.6
1774;1;202309270000;20.6
1775;1;202309270000;20.5
1776;1;202309270000;21.2
1777;1;202309270000;21.3
1778;1;202309270000;21.3
1779;1;202309270000;19.8
1780;1;202309270000;21.4
1781;1;202309270000;20.7
1782;1;202309270000;21.0
1783;1;202309270000;21.1
1784;1;202309270000;21.0
1785;1;202309270000;21.3
1786;1;202309270000;20.8
1787;1;202309270000;18.9
1788;1;202309270000;21.0
1789;1;202309270000;20.2
1790;1;202309270000;21.4
1795;1;202309270000;21.8
1796;1;202309270000;21.6
1797;1;202309270000;20.9
1798;1;202309270000;20.0
1799;1;202309270000;20.8
1800;1;202309270000;20.5
1801;1;202309270000;20.8
1802;1;202309270000;20.7
1803;1;202309270000;20.8
1804;1;202309270000;21.3
1805;1;202309270000;21.4
1806;1;202309270000;21.4
1815;1;202309270000;20.6
1816;1;202309270000;21.8
1817;1;202309270000;21.1
1818;1;202309270000;21.8
1820;1;202309270000;20.1
1821;1;202309270000;20.7
1822;1;202309270000;21.1
1823;1;202309270000;20.7
1824;1;202309270000;20.3
1825;1;202309270000;20.6
1826;1;202309270000;21.5
1827;1;202309270000;21.5
1828;1;202309270000;21.2
1829;1;202309270000;20.6
1830;1;202309270000;21.4
1832;1;202309270000;21.6
1833;1;202309270000;21.8
1835;1;202309270000;21.2
1836;1;202309270000;21.5
2518;1;202309270000;18.4
2521;1;202309270000;22.2
2522;1;202309270000;21.0
2523;1;202309270000;19.8
2524;1;202309270000;19.8
2525;1;202309270000;22.4
3932;1;202309270000;21.3
3935;1;202309270000;23.9
3952;1;202309270000;22.0
3954;1;202309270000;19.0
3955;1;202309270000;21.5
3956;1;202309270000;22.2
3958;1;202309270000;21.2
3959;1;202309270000;16.8
3960;1;202309270000;22.2
3963;1;202309270000;21.3
3966;1;202309270000;22.0
3967;1;202309270000;21.1
3968;1;202309270000;21.3
3969;1;202309270000;21.2
3970;1;202309270000;20.3
3971;1;202309270000;20.9
3972;1;202309270000;21.0
3973;1;202309270000;21.2
3974;1;202309270000;20.9
3975;1;202309270000;21.0
3976;1;202309270000;20.7
3977;1;202309270000;20.2
3978;1;202309270000;18.8
3979;1;202309270000;20.9
3981;1;202309270000;20.2
3982;1;202309270000;19.4
3985;1;202309270000;20.6
3988;1;202309270000;21.6
3992;1;202309270000;22.0
3996;1;202309270000;22.2
3998;1;202309270000;22.0
3999;1;202309270000;21.6
4002;1;202309270000;20.4
4004;1;202309270000;20.6
4025;1;202309270000;21.0
4026;1;202309270000;21.3
4037;1;202309270000;24.9
4038;1;202309270000;24.2
4040;1;202309270000;24.1
4041;1;202309270000;19.9
4042;1;202309270000;20.4
4043;1;202309270000;20.9
4044;1;202309270000;20.2
4045;1;202309270000;20.6
4046;1;202309270000;23.2
4047;1;202309270000;22.1
4048;1;202309270000;19.9
