LocationID;LocationType;Date;tre200dn
729;1;202309270000;2.7
731;1;202309270000;4.8
738;1;202309270000;6.2
743;1;202309270000;7.7
746;1;202309270000;8.8
748;1;202309270000;7.6
749;1;202309270000;9.0
762;1;202309270000;8.1
765;1;202309270000;6.3
771;1;202309270000;7.6
774;1;202309270000;8.3
779;1;202309270000;8.2
782;1;202309270000;8.7
795;1;202309270000;9.5
797;1;202309270000;7.2
799;1;202309270000;7.9
800;1;202309270000;8.3
803;1;202309270000;8.6
806;1;202309270000;10.3
835;1;202309270000;3.8
842;1;202309270000;7.5
843;1;202309270000;11.8
844;1;202309270000;8.9
847;1;202309270000;7.5
848;1;202309270000;10.3
849;1;202309270000;7.5
850;1;202309270000;10.6
852;1;202309270000;0.2
853;1;202309270000;11.2
854;1;202309270000;7.3
855;1;202309270000;10.6
856;1;202309270000;4.5
857;1;202309270000;7.4
859;1;202309270000;6.4
860;1;202309270000;10.5
861;1;202309270000;8.5
862;1;202309270000;6.5
863;1;202309270000;7.9
864;1;202309270000;4.6
865;1;202309270000;12.4
866;1;202309270000;2.8
867;1;202309270000;3.7
915;1;202309270000;6.9
952;1;202309270000;11.5
955;1;202309270000;8.2
958;1;202309270000;9.3
1024;1;202309270000;8.9
1040;1;202309270000;8.7
1118;1;202309270000;9.0
1435;1;202309270000;7.9
1472;1;202309270000;8.8
1728;1;202309270000;6.6
1729;1;202309270000;7.5
1730;1;202309270000;6.7
1731;1;202309270000;6.4
1732;1;202309270000;8.2
1733;1;202309270000;7.7
1734;1;202309270000;9.0
1735;1;202309270000;7.0
1736;1;202309270000;8.7
1737;1;202309270000;6.4
1738;1;202309270000;7.5
1739;1;202309270000;8.0
1740;1;202309270000;6.9
1741;1;202309270000;6.9
1742;1;202309270000;8.2
1743;1;202309270000;7.5
1744;1;202309270000;9.0
1745;1;202309270000;7.1
1746;1;202309270000;6.7
1747;1;202309270000;7.4
1748;1;202309270000;8.9
1749;1;202309270000;7.0
1750;1;202309270000;8.8
1751;1;202309270000;8.1
1752;1;202309270000;6.4
1753;1;202309270000;6.9
1754;1;202309270000;7.6
1755;1;202309270000;7.6
1756;1;202309270000;7.6
1757;1;202309270000;8.7
1758;1;202309270000;8.3
1759;1;202309270000;8.8
1760;1;202309270000;9.2
1761;1;202309270000;9.7
1762;1;202309270000;9.3
1763;1;202309270000;8.9
1764;1;202309270000;8.7
1765;1;202309270000;7.8
1766;1;202309270000;8.6
1767;1;202309270000;8.9
1768;1;202309270000;8.7
1769;1;202309270000;9.0
1770;1;202309270000;9.7
1771;1;202309270000;8.6
1772;1;202309270000;10.1
1773;1;202309270000;9.8
1774;1;202309270000;9.9
1775;1;202309270000;9.4
1776;1;202309270000;9.5
1777;1;202309270000;10.3
1778;1;202309270000;9.7
1779;1;202309270000;8.9
1780;1;202309270000;7.7
1781;1;202309270000;8.4
1782;1;202309270000;8.4
1783;1;202309270000;7.7
1784;1;202309270000;8.3
1785;1;202309270000;8.2
1786;1;202309270000;9.2
1787;1;202309270000;9.7
1788;1;202309270000;9.0
1789;1;202309270000;8.3
1790;1;202309270000;8.3
1795;1;202309270000;10.0
1796;1;202309270000;10.0
1797;1;202309270000;7.6
1798;1;202309270000;7.4
1799;1;202309270000;8.1
1800;1;202309270000;9.2
1801;1;202309270000;9.5
1802;1;202309270000;9.6
1803;1;202309270000;10.4
1804;1;202309270000;11.1
1805;1;202309270000;10.7
1806;1;202309270000;9.9
1815;1;202309270000;8.9
1816;1;202309270000;9.8
1817;1;202309270000;9.5
1818;1;202309270000;10.0
1820;1;202309270000;9.1
1821;1;202309270000;9.4
1822;1;202309270000;9.2
1823;1;202309270000;7.9
1824;1;202309270000;8.4
1825;1;202309270000;8.6
1826;1;202309270000;8.6
1827;1;202309270000;8.6
1828;1;202309270000;9.0
1829;1;202309270000;8.8
1830;1;202309270000;7.3
1832;1;202309270000;10.0
1833;1;202309270000;9.8
1835;1;202309270000;8.9
1836;1;202309270000;8.6
2518;1;202309270000;9.3
2521;1;202309270000;6.9
2522;1;202309270000;6.1
2523;1;202309270000;8.6
2524;1;202309270000;11.7
2525;1;202309270000;11.2
3932;1;202309270000;7.1
3935;1;202309270000;11.0
3952;1;202309270000;9.0
3954;1;202309270000;8.2
3955;1;202309270000;8.8
3956;1;202309270000;8.9
3958;1;202309270000;13.0
3959;1;202309270000;10.4
3960;1;202309270000;11.0
3963;1;202309270000;10.5
3966;1;202309270000;9.0
3967;1;202309270000;8.6
3968;1;202309270000;9.6
3969;1;202309270000;7.8
3970;1;202309270000;8.2
3971;1;202309270000;7.0
3972;1;202309270000;8.7
3973;1;202309270000;8.9
3974;1;202309270000;8.9
3975;1;202309270000;7.8
3976;1;202309270000;6.3
3977;1;202309270000;9.2
3978;1;202309270000;9.4
3979;1;202309270000;9.1
3981;1;202309270000;8.1
3982;1;202309270000;8.7
3985;1;202309270000;8.5
3988;1;202309270000;9.1
3992;1;202309270000;8.6
3996;1;202309270000;7.6
3998;1;202309270000;7.9
3999;1;202309270000;7.1
4002;1;202309270000;9.1
4004;1;202309270000;9.1
4025;1;202309270000;8.0
4026;1;202309270000;7.5
4037;1;202309270000;12.6
4038;1;202309270000;13.6
4040;1;202309270000;11.8
4041;1;202309270000;10.5
4042;1;202309270000;10.0
4043;1;202309270000;7.9
4044;1;202309270000;6.8
4045;1;202309270000;12.3
4046;1;202309270000;11.6
4047;1;202309270000;11.8
4048;1;202309270000;6.6
4050;1;202309270000;9.8
4192;1;202309270000;8.8
4193;1;202309270000;8.6
4194;1;202309270000;9.5
4196;1;202309270000;7.5
4197;1;202309270000;7.8
4198;1;202309270000;10.2
4199;1;202309270000;10.3
4259;1;202309270000;7.9
4270;1;202309270000;7.2
4271;1;202309270000;9.1
4281;1;202309270000;8.7
4282;1;202309270000;10.0
4284;1;202309270000;10.1
4288;1;202309270000;10.6
4290;1;202309270000;10.6
4291;1;202309270000;6.2
